User_Name	Latitude	Longitude
0*Vane§a*8	-75.692525	4.509793
0.o	107.5647	-6.90276
007	-74.526205	40.893145
02 06	-83.007796	40.084969
03/05/14	-78.84498	42.90839
03/05/2014 ♡	-78.954761	33.778398
031513❤️	-99.140647	19.451379
032814 ❤️	-75.165916	39.917354
04/05/14.WWATARG	-70.642143	-33.443866
0419bot	-90.226302	38.733677
05-11-14	-43.362128	-21.781128
05/07- 21 aninhos*-*	-42.922362	-22.769687
05/30	-94.27241	39.007827
052794	-87.481899	36.843932
060614071614	-58.472339	-34.684214
07/17	126.81131	37.528187
07th	135.94882	35.111039
07•10♋️	-86.388578	39.836806
0918	-97.684241	30.455472
0__0  Zombie  0__0	101.864452	2.901114
0¢¡	36.699295	34.720062
0⃣8⃣2⃣0⃣♌️	-80.410833	36.047603
1.25♒️	-122.153696	37.75595
10 April	-97.36466	35.4775
10 More Days ✨	-59.515184	-33.810616
10.05	-84.837584	38.216408
10.05.2014 WWAT	119.51605	-5.15506
100%UCABISTA	-97.42945	35.439282
100%❤ANGEL❤4EVeR☜❤☞	-70.958334	43.401039
1000 Words	-66.016312	18.388466
108 days//brATT	-116.214318	33.821354
108 ✘	-86.836495	40.433067
109 años CAP ♡	124.79178	1.43889
10Dias ♡/DePeqe	-82.32498	28.183326
10th of June	117.113881	-0.522261
11	-75.145322	40.116003
11 Dec ★☺ f(x)	-104.812188	39.360913
11/14	-48.607548	-27.575554
12 = 1R	-58.681505	-34.499941
12 J~N♥	-2.166142	53.116757
12 de Julio 1925	-74.232054	40.713218
13	-40.361294	-20.327852
13 diAs	-9.059311	38.868486
13-05-14 ♥	-87.649854	41.711019
13-10-13	-46.501721	-23.586204
13/04/14#Nß♥	38.094852	55.636519
140文字のキュンとする話	100.07471	7.462926
1495Sports	-121.306327	37.92588
15 DIAS♡	-95.585957	29.596603
15 Días	-117.888113	33.793309
15分毎に素因数分解	-93.122026	35.293455
17	-58.467426	-34.805391
18 May	-118.374815	33.926422
19/05/14♥	-43.245006	-22.915665
19/4 sos INOLVIDABLE	106.605452	-6.192456
1963Tani	-96.779135	33.079717
199X	-89.52384	14.030279
1D Family Argentina	-96.342819	32.051137
1NoBruu ❌	-97.632969	30.465753
1kNation	-75.710221	4.789923
1st of June	-88.709937	34.308789
1⃣	-84.092168	34.110938
1⃣3⃣	-58.487387	-34.600684
1♥ 1D	-90.316957	38.542876
2 6 3 ♡	112.69992	-7.65563
2 CARAS	-72.647035	7.37028
2 Days ♥	-97.497613	37.723574
20-03-14Loove♥	-85.887637	38.985532
2000	0.0	0.0
201 - locasta	-92.348071	42.467435
20beijar♔	-51.078947	0.000341
21 dias♥	-48.649205	-27.485279
210週間フレンズ。	-86.054338	34.023192
22.03.14 ♡	-71.514152	-33.014931
23	-80.761647	41.293386
2321	-119.603391	36.577616
232677	123.5056	13.28323
24	-117.189473	33.566083
24/05/2014♥	-73.993322	40.724427
25.04.14	-122.232117	37.822869
261✌910	-93.634483	41.605713
26mgmt♡	-78.811705	42.944782
27.♌️	-78.882246	35.794778
28 especial para mi	-46.28661	-23.540304
28th RP B-Day	-84.8784985	35.200662
2904	-72.345029	-37.455605
29\12\13♡	-118.186637	34.056933
2BLE U EL GORDITO	-116.459095	33.788542
2CHAINS+2PAC=4	-56.19953	-34.90554
2Chainz Jr	-92.9489	17.961118
2R MAGRIN ★	-70.935296	42.017936
2k Legend	-72.28467699999999	-2.7943665000000006
2kayyss	141.431537	40.51151
2latiie__92	-58.55844	-34.554737
2ne1	-75.451549	40.582198
2themillbeats	-95.704363	29.876556
2⃣ Eli	-73.164139	41.18772
2ちゃんねるまとめ！！	-122.204512	37.796935
